Name,Object Types,Label,Group name,Type,Required,Validate Uniqueness,Description
lxc_rootfs_storage,virtualization.virtualmachine,RootFS Storage,LXC Container,Text,False,False,
lxc_unprivileged,virtualization.virtualmachine,Unprivileged,LXC Container,Boolean (true/false),False,False,
lxc_architecture,virtualization.virtualmachine,Architecture,LXC Container,Text,False,False,
lxc_features,virtualization.virtualmachine,Features,LXC Container,Text,False,False,
proxmox_cpu_cores_total,dcim.device,CPU Cores,Proxmox,Integer,False,False,
proxmox_memory_total_gb,dcim.device,Total Memory (GiB),Proxmox,Integer,False,False,
proxmox_rootfs_total_gb,dcim.device,RootFS Size (GiB),Proxmox,Integer,False,False,
proxmox_node_last_sync,dcim.device,Node Last Sync,Proxmox,Date & time,False,False,
proxmox_cpu_sockets,dcim.device,CPU Sockets,Proxmox,Integer,False,False,
proxmox_interface_type,dcim.interface,Interface Type,Proxmox,Text,False,False,
proxmox_interface_ports,dcim.interface,Interface Ports,Proxmox,Text,False,False,
proxmox_pve_version,dcim.device,PVE Version,Proxmox,Text,False,False,
interface_model,virtualization.vminterface,Interface Model,Proxmox,Text,False,False,
proxmox_cpu_model,dcim.device,CPU Model,Proxmox,Text,False,False,
bridge,virtualization.vminterface,Bridge,Proxmox,Text,False,False,
vm_status,virtualization.virtualmachine,Status,VM Status,Selection,False,False,
vmid,virtualization.virtualmachine,Id,VM Status,Integer,False,False,
vm_last_sync,virtualization.virtualmachine,Last Sync,VM Status,Date & time,False,False,
min_memory_mb,virtualization.virtualmachine,Minimum Memory (MiB),Virtual Machine,Integer,False,False,
qemu_bios_type,virtualization.virtualmachine,BIOS Type,Virtual Machine,Text,False,False,
qemu_boot_order,virtualization.virtualmachine,Boot Order,Virtual Machine,Text,False,False,
qemu_cores_per_socket,virtualization.virtualmachine,Cores per Socket,Virtual Machine,Integer,False,False,
qemu_cpu_type,virtualization.virtualmachine,CPU Type,Virtual Machine,Text,False,False,
qemu_machine_type,virtualization.virtualmachine,Machine Type,Virtual Machine,Text,False,False,
cpu_sockets,virtualization.virtualmachine,CPU Sockets,Virtual Machine,Integer,False,False,
boot_disk_storage,virtualization.virtualmachine,Boot Disk Storage,Virtual Machine,Text,False,False,
boot_disk_format,virtualization.virtualmachine,Boot Disk Format,Virtual Machine,Text,False,False,
qemu_numa_enabled,virtualization.virtualmachine,NUMA Enabled,Virtual Machine,Boolean (true/false),False,False,